username,password_hash,email,phone_number,user_type
user_1,hashed_password,user_1@example.com,555-0101,artist
user_2,hashed_password,user_2@example.com,555-0102,buyer
user_3,hashed_password,user_3@example.com,555-0103,artist
user_4,hashed_password,user_4@example.com,555-0104,buyer
user_5,hashed_password,user_5@example.com,555-0105,artist
user_6,hashed_password,user_6@example.com,555-0106,buyer
user_7,hashed_password,user_7@example.com,555-0107,artist
user_8,hashed_password,user_8@example.com,555-0108,buyer
user_9,hashed_password,user_9@example.com,555-0109,artist
user_10,hashed_password,user_10@example.com,555-01010,buyer
user_11,hashed_password,user_11@example.com,555-01011,artist
user_12,hashed_password,user_12@example.com,555-01012,buyer
user_13,hashed_password,user_13@example.com,555-01013,artist
user_14,hashed_password,user_14@example.com,555-01014,buyer
user_15,hashed_password,user_15@example.com,555-01015,artist
user_16,hashed_password,user_16@example.com,555-01016,buyer
user_17,hashed_password,user_17@example.com,555-01017,artist
user_18,hashed_password,user_18@example.com,555-01018,buyer
user_19,hashed_password,user_19@example.com,555-01019,artist
user_20,hashed_password,user_20@example.com,555-01020,buyer
user_21,hashed_password,user_21@example.com,555-01021,artist
user_22,hashed_password,user_22@example.com,555-01022,buyer
user_23,hashed_password,user_23@example.com,555-01023,artist
user_24,hashed_password,user_24@example.com,555-01024,buyer
user_25,hashed_password,user_25@example.com,555-01025,artist
user_26,hashed_password,user_26@example.com,555-01026,buyer
user_27,hashed_password,user_27@example.com,555-01027,artist
user_28,hashed_password,user_28@example.com,555-01028,buyer
user_29,hashed_password,user_29@example.com,555-01029,artist
user_30,hashed_password,user_30@example.com,555-01030,buyer
user_31,hashed_password,user_31@example.com,555-01031,artist
user_32,hashed_password,user_32@example.com,555-01032,buyer
user_33,hashed_password,user_33@example.com,555-01033,artist
user_34,hashed_password,user_34@example.com,555-01034,buyer
user_35,hashed_password,user_35@example.com,555-01035,artist
user_36,hashed_password,user_36@example.com,555-01036,buyer
user_37,hashed_password,user_37@example.com,555-01037,artist
user_38,hashed_password,user_38@example.com,555-01038,buyer
user_39,hashed_password,user_39@example.com,555-01039,artist
user_40,hashed_password,user_40@example.com,555-01040,buyer
user_41,hashed_password,user_41@example.com,555-01041,artist
user_42,hashed_password,user_42@example.com,555-01042,buyer
user_43,hashed_password,user_43@example.com,555-01043,artist
user_44,hashed_password,user_44@example.com,555-01044,buyer
user_45,hashed_password,user_45@example.com,555-01045,artist
user_46,hashed_password,user_46@example.com,555-01046,buyer
user_47,hashed_password,user_47@example.com,555-01047,artist
user_48,hashed_password,user_48@example.com,555-01048,buyer
user_49,hashed_password,user_49@example.com,555-01049,artist
user_50,hashed_password,user_50@example.com,555-01050,buyer
user_51,hashed_password,user_51@example.com,555-01051,artist
user_52,hashed_password,user_52@example.com,555-01052,buyer
user_53,hashed_password,user_53@example.com,555-01053,artist
user_54,hashed_password,user_54@example.com,555-01054,buyer
user_55,hashed_password,user_55@example.com,555-01055,artist
user_56,hashed_password,user_56@example.com,555-01056,buyer
user_57,hashed_password,user_57@example.com,555-01057,artist
user_58,hashed_password,user_58@example.com,555-01058,buyer
user_59,hashed_password,user_59@example.com,555-01059,artist
user_60,hashed_password,user_60@example.com,555-01060,buyer
user_61,hashed_password,user_61@example.com,555-01061,artist
user_62,hashed_password,user_62@example.com,555-01062,buyer
user_63,hashed_password,user_63@example.com,555-01063,artist
user_64,hashed_password,user_64@example.com,555-01064,buyer
user_65,hashed_password,user_65@example.com,555-01065,artist
user_66,hashed_password,user_66@example.com,555-01066,buyer
user_67,hashed_password,user_67@example.com,555-01067,artist
user_68,hashed_password,user_68@example.com,555-01068,buyer
user_69,hashed_password,user_69@example.com,555-01069,artist
user_70,hashed_password,user_70@example.com,555-01070,buyer
user_71,hashed_password,user_71@example.com,555-01071,artist
